name,code,block,block5,num,stocks
煤炭,880301,T0101,T0101,32,"['000552', '000571', '000723', '000937', '000983', '600121', '600123', '600188', '600348', '600395', '600397', '600403', '600408', '600508', '600546', '600740', '600758', '600792', '600925', '600971', '600985', '600997', '601001', '601011', '601015', '601088', '601101', '601225', '601666', '601699', '601898', '601918']"
煤炭开采,880302,T010101,T0101,25,"['000552', '000571', '000937', '000983', '600121', '600123', '600188', '600348', '600395', '600397', '600403', '600508', '600546', '600758', '600925', '600971', '600985', '601001', '601088', '601101', '601225', '601666', '601699', '601898', '601918']"
焦炭加工,880303,T010102,T0101,7,"['000723', '600408', '600740', '600792', '600997', '601011', '601015']"
电力,880305,T0102,T0102,81,"['000027', '000037', '000155', '000507', '000531', '000537', '000539', '000543', '000591', '000595', '000600', '000601', '000690', '000722', '000767', '000791', '000862', '000875', '000883', '000899', '000966', '000993', '001258', '001286', '001289', '001896', '002015', '002039', '002053', '002218', '002256', '002479', '002513', '002608', '003035', '003816', '300040', '600011', '600021', '600023', '600025', '600027', '600032', '600098', '600101', '600116', '600157', '600163', '600236', '600310', '600396', '600452', '600483', '600505', '600509', '600575', '600578', '600642', '600644', '600674', '600726', '600744', '600780', '600795', '600821', '600863', '600868', '600886', '600900', '600905', '600930', '600969', '600979', '600995', '601016', '601222', '601619', '601778', '601985', '601991', '603693']"
水力发电,880306,T010201,T0102,21,"['000601', '000722', '000791', '000883', '000993', '002039', '600025', '600101', '600116', '600236', '600310', '600452', '600505', '600644', '600674', '600868', '600886', '600900', '600969', '600979', '600995']"
火力发电,880307,T010202,T0102,31,"['000027', '000037', '000531', '000539', '000543', '000600', '000690', '000767', '000875', '000899', '000966', '001286', '001896', '002608', '600011', '600021', '600023', '600027', '600098', '600157', '600396', '600509', '600575', '600578', '600642', '600726', '600744', '600780', '600795', '600863', '601991']"
新型电力,880308,T010203,T0102,29,"['000155', '000507', '000537', '000591', '000595', '000862', '001258', '001289', '002015', '002053', '002218', '002256', '002479', '002513', '003035', '003816', '300040', '600032', '600163', '600483', '600821', '600905', '600930', '601016', '601222', '601619', '601778', '601985', '603693']"
石油,880310,T0103,T0103,39,"['000059', '000096', '000159', '000554', '000637', '000698', '000819', '000968', '002207', '002221', '002554', '002629', '002828', '300055', '300135', '300164', '300191', '300483', '300839', '600028', '600256', '600339', '600346', '600506', '600583', '600688', '600759', '600777', '600871', '600938', '600968', '601808', '601857', '603353', '603619', '603727', '603798', '920088', '920099']"
石油开采,880311,T010301,T0103,21,"['000968', '002207', '002554', '002629', '002828', '300164', '300191', '300483', '600256', '600339', '600583', '600759', '600777', '600871', '600938', '600968', '601808', '601857', '603619', '603727', '920088']"
石油加工,880312,T010302,T0103,14,"['000059', '000637', '000698', '000819', '002221', '300055', '300135', '300839', '600028', '600346', '600506', '600688', '603798', '920099']"
石油贸易,880313,T010303,T0103,4,"['000096', '000159', '000554', '603353']"
钢铁,880318,T0201,T0201,59,"['000655', '000708', '000709', '000717', '000761', '000778', '000825', '000898', '000923', '000932', '000959', '001203', '002075', '002110', '002132', '002135', '002318', '002443', '002445', '002478', '002541', '002593', '002722', '002743', '002843', '300881', '600010', '600019', '600022', '600117', '600126', '600231', '600282', '600295', '600307', '600382', '600399', '600477', '600496', '600507', '600558', '600569', '600581', '600782', '600808', '600992', '601003', '601005', '601096', '601121', '601686', '601969', '603028', '603278', '603878', '603995', '605158', '688186', '920057']"
普钢,880319,T020101,T0201,26,"['000655', '000709', '000717', '000761', '000898', '000923', '000932', '000959', '001203', '002110', '600010', '600019', '600022', '600126', '600231', '600282', '600307', '600382', '600569', '600581', '600782', '600808', '601003', '601005', '601121', '601969']"
特种钢,880320,T020102,T0201,10,"['000708', '000825', '002075', '002318', '600117', '600295', '600399', '600507', '603995', '688186']"
