,name,tp,num,stocks
0,精选指数,zs,7,"['399001', '399005', '399006', '399106', '399300', '399903', '999999']"
1,重点沪指,zs,0,['']
2,沪深300,zs,300,"['000001', '000002', '000063', '000100', '000157', '000166', '000301', '000333', '000338', '000408', '000425', '000538', '000568', '000596', '000617', '000625', '000630', '000651', '000661', '000708', '000725', '000768', '000776', '000786', '000792', '000800', '000807', '000858', '000876', '000895', '000938', '000963', '000975', '000977', '000983', '000999', '001289', '001391', '001965', '001979', '002001', '002027', '002028', '002049', '002050', '002074', '002129', '002142', '002179', '002180', '002230', '002236', '002241', '002252', '002304', '002311', '002352', '002371', '002415', '002422', '002459', '002460', '002463', '002466', '002475', '002493', '002594', '002600', '002601', '002648', '002709', '002714', '002736', '002916', '002920', '002938', '003816', '300014', '300015', '300033', '300059', '300122', '300124', '300274', '300308', '300316', '300347', '300394', '300408', '300413', '300418', '300433', '300442', '300498', '300502', '300628', '300661', '300750', '300759', '300760', '300782', '300832', '300896', '300979', '300999', '301236', '301269', '302132', '600000', '600009', '600010', '600011', '600015', '600016', '600018', '600019', '600023', '600025', '600026', '600027', '600028', '600029', '600030', '600031', '600036', '600039', '600048', '600050', '600061', '600066', '600085', '600089', '600104', '600111', '600115', '600150', '600160', '600161', '600176', '600183', '600188', '600196', '600219', '600233', '600276', '600309', '600332', '600346', '600362', '600372', '600377', '600406', '600415', '600426', '600436', '600438', '600460', '600482', '600489', '600515', '600519', '600547', '600570', '600584', '600585', '600588', '600600', '600660', '600674', '600690', '600741', '600760', '600795', '600803', '600809', '600845', '600875', '600886', '600887', '600893', '600900', '600905', '600918', '600919', '600926', '600938', '600941', '600958', '600989', '600999', '601006', '601009', '601012', '601021', '601058', '601059', '601066', '601077', '601088', '601100', '601111', '601117', '601127', '601136', '601138', '601166', '601169', '601186', '601211', '601225', '601229', '601236', '601238', '601288', '601318', '601319', '601328', '601336', '601360', '601377', '601390', '601398', '601600', '601601', '601607', '601618', '601628', '601633', '601658', '601668', '601669', '601688', '601689', '601698', '601699', '601728', '601766', '601788', '601799', '601800', '601808', '601816', '601818', '601825', '601838', '601857', '601865', '601868', '601872', '601877', '601878', '601881', '601888', '601898', '601899', '601901', '601916', '601919', '601939', '601985', '601988', '601989', '601995', '601998', '603019', '603195', '603259', '603260', '603288', '603296', '603369', '603392', '603501', '603799', '603806', '603833', '603986', '603993', '605117', '605499', '688008', '688009', '688012', '688036', '688041', '688047', '688082', '688111', '688126', '688169', '688187', '688223', '688256', '688271', '688303', '688396', '688472', '688506', '688599', '688981']"
3,深证成指,zs,39,"['000001', '000002', '000063', '000069', '000100', '000157', '000166', '000333', '000338', '000402', '000423', '000538', '000568', '000581', '000623', '000625', '000629', '000651', '000725', '000768', '000776', '000783', '000792', '000858', '000895', '001979', '002024', '002081', '002142', '002230', '002236', '002241', '002304', '002353', '002415', '002456', '002594', '300027', '300070']"
4,创业板指,zs,100,"['300001', '300002', '300003', '300012', '300014', '300015', '300017', '300024', '300033', '300037', '300054', '300058', '300059', '300070', '300073', '300115', '300122', '300124', '300136', '300142', '300144', '300146', '300207', '300212', '300223', '300251', '300253', '300274', '300285', '300308', '300316', '300339', '300346', '300347', '300373', '300383', '300390', '300394', '300395', '300408', '300413', '300418', '300433', '300442', '300450', '300454', '300458', '300474', '300476', '300487', '300496', '300498', '300502', '300529', '300558', '300567', '300595', '300601', '300604', '300627', '300628', '300661', '300666', '300676', '300677', '300679', '300699', '300724', '300735', '300748', '300750', '300751', '300759', '300760', '300761', '300763', '300765', '300776', '300782', '300803', '300832', '300857', '300866', '300888', '300896', '300919', '300957', '300979', '300999', '301029', '301165', '301236', '301267', '301269', '301301', '301308', '301358', '301498', '301536', '302132']"
5,深证50,zs,50,"['000002', '000063', '000100', '000333', '000423', '000538', '000568', '000625', '000651', '000661', '000725', '000786', '000792', '000858', '000895', '000938', '000977', '001979', '002001', '002027', '002180', '002230', '002252', '002271', '002311', '002352', '002371', '002415', '002422', '002463', '002475', '002555', '002594', '002648', '002714', '300015', '300033', '300059', '300124', '300274', '300308', '300408', '300418', '300498', '300502', '300750', '300760', '300896', '300979', '301236']"
6,上证50,zs,50,"['600028', '600030', '600031', '600036', '600048', '600050', '600150', '600276', '600309', '600406', '600519', '600690', '600760', '600809', '600887', '600900', '600941', '601012', '601088', '601127', '601166', '601211', '601225', '601288', '601318', '601328', '601398', '601600', '601601', '601628', '601658', '601668', '601728', '601766', '601816', '601857', '601888', '601899', '601919', '601985', '601988', '603259', '603501', '603993', '688008', '688012', '688041', '688111', '688256', '688981']"
7,科创50,zs,50,"['688008', '688009', '688012', '688036', '688041', '688047', '688065', '688072', '688082', '688099', '688111', '688114', '688120', '688122', '688126', '688169', '688180', '688187', '688188', '688213', '688223', '688234', '688249', '688256', '688271', '688278', '688297', '688303', '688349', '688363', '688375', '688396', '688469', '688472', '688475', '688506', '688521', '688525', '688538', '688561', '688563', '688578', '688599', '688608', '688617', '688728', '688777', '688819', '688981', '689009']"
8,北证50,zs,50,"['430047', '430139', '430418', '430510', '830809', '830946', '831961', '832491', '832522', '832735', '832978', '832982', '833171', '833394', '833509', '833533', '834261', '834599', '835174', '835185', '835368', '835438', '835579', '835640', '835985', '836077', '836208', '836239', '836247', '836720', '837592', '837821', '838402', '838701', '838971', '839493', '871753', '872808', '872953', '873001', '873122', '873576', '873593', '873693', '873806', '920002', '920019', '920682', '920799', '920819']"
9,中证A50,zs,50,"['000063', '000333', '000617', '000725', '000792', '000938', '002027', '002230', '002371', '002475', '002594', '002714', '300015', '300124', '300408', '300750', '300760', '600009', '600019', '600028', '600030', '600031', '600036', '600048', '600111', '600276', '600309', '600406', '600415', '600426', '600436', '600519', '600585', '600660', '600887', '600893', '600900', '600941', '601012', '601088', '601318', '601600', '601668', '601766', '601816', '601888', '601899', '603259', '605499', '688981']"
