wave	category	priority	threshold	lines	path	status
Wave1	python_source	P2	800	445	./src/backtesting/advanced_backtest_engine.py	DONE
Wave1	python_source	P2	800	748	./web/backend/app/api/backup_recovery_secure/log_security_event.py	DONE
Wave1	python_source	P2	800	258	./web/backend/app/api/dashboard.py	DONE
Wave1	python_source	P2	800	595	./web/backend/app/api/notification.py	DONE
Wave1	python_source	P2	800	712	./web/backend/app/api/algorithms/get_algorithms_module.py	DONE
Wave1	python_source	P2	800	174	./web/backend/app/services/stock_search_service/stock_search_service.py	DONE
Wave1	python_source	P2	800	99	./src/data_access/tdengine_access.py	DONE
Wave1	python_source	P2	800	788	./src/advanced_analysis/market_panorama_analyzer.py	DONE
Wave1	python_source	P2	800	787	./src/advanced_analysis/capital_flow_analyzer/capital_flow_cluster.py	DONE
Wave1	python_source	P2	800	93	./src/monitoring/ai_alert_manager.py	DONE
Wave1	python_source	P2	800	772	./web/backend/app/api/strategy_management/get_monitoring_db.py	DONE
Wave1	python_source	P2	800	760	./web/backend/app/api/tasks.py	DONE
Wave1	python_source	P2	800	688	./web/backend/app/api/indicators/indicator_cache.py	DONE
Wave1	python_source	P2	800	771	./src/advanced_analysis/sentiment_analyzer/sentiment_score.py	DONE
Wave1	python_source	P2	800	710	./web/backend/app/api/market/market_data_request.py	DONE
Wave1	python_source	P2	800	780	./src/advanced_analysis/technical_analyzer/technical_signal.py	DONE
Wave1	python_source	P2	800	753	./web/backend/app/api/stock_search/stock_search_result.py	DONE
Wave1	python_source	P2	800	721	./src/interfaces/adapters/efinance_adapter/efinance_data_source.py	DONE
Wave1	python_source	P2	800	753	./src/advanced_analysis/fundamental_analyzer.py	DONE
Wave1	python_source	P2	800	773	./src/advanced_analysis/trading_signals_analyzer/trading_signal.py	DONE
Wave1	python_source	P2	800	762	./src/advanced_analysis/chip_distribution_analyzer/chip_concentration.py	DONE
Wave1	python_source	P2	800	752	./src/routes/stocks_routes/check_use_mock_data.py	DONE
Wave3	ts	P0	500	2235	./web/frontend/src/api/types/common.ts	DONE
Wave3	ts	P1	500	18	./web/frontend/tests/e2e/strategy-management.spec.ts	DONE
Wave3	ts	P2	500	423	./web/frontend/src/components/market/composables/useProKLineChart.ts	DONE
Wave3	ts	P2	500	270	./web/frontend/src/views/artdeco-pages/strategy-tabs/ArtDecoStrategyManagement.vue	DONE
Wave3	ts	P2	500	492	./web/frontend/src/components/artdeco/advanced/ArtDecoCapitalFlow.vue	DONE
Wave3	ts	P2	500	3	./web/frontend/src/api/types/domains/market-data.ts	DONE
Wave3	ts	P2	500	663	./tests/e2e/trade-management-page.spec.ts	TODO
Wave3	ts	P2	500	658	./tests/e2e/realtime-monitor.spec.ts	TODO
Wave3	ts	P2	500	381	./web/frontend/src/services/TradingApiManager.ts	DONE
Wave3	ts	P2	500	627	./tests/config/coverage-config.ts	TODO
Wave3	ts	P2	500	625	./tests/e2e/settings-page.spec.ts	TODO
Wave3	ts	P2	500	470	./web/frontend/src/components/Charts/composables/useProKLineChart.ts	DONE
Wave3	ts	P2	500	609	./tests/helpers/coverage-reporter/coverage-reporter.ts	TODO
Wave3	ts	P2	500	595	./tests/e2e/stock-detail-page.spec.ts	TODO
Wave3	ts	P2	500	592	./web/frontend/tests/unit/utils/indicators-extended.test.ts	TODO
Wave3	ts	P2	500	590	./tests/helpers/performance-monitor.ts	TODO
Wave3	ts	P2	500	578	./tests/e2e/task-management-page.spec.ts	TODO
Wave3	ts	P2	500	576	./web/frontend/tests/unit/utils/indicators.test.ts	TODO
Wave3	ts	P2	500	436	./web/frontend/src/views/composables/useTechnicalAnalysis.ts	DONE
Wave3	ts	P2	500	559	./web/frontend/src/api/types/common/types-2.ts	TODO
Wave3	ts	P2	500	558	./web/frontend/src/api/types/common/types-4.ts	TODO
Wave3	ts	P2	500	558	./web/frontend/src/api/types/common/common_types/types-1.ts	TODO
Wave3	ts	P2	500	554	./tests/e2e/specs/trading.spec.ts	TODO
Wave3	ts	P2	500	551	./web/frontend/src/api/types/common/types-3.ts	TODO
Wave3	ts	P2	500	548	./tests/e2e/market-page.spec.ts	TODO
Wave3	ts	P2	500	543	./tests/e2e/specs/auth-optimized.spec.ts	TODO
Wave3	ts	P2	500	386	./web/frontend/src/api/user.ts	DONE
Wave3	ts	P2	500	542	./web/frontend/src/api/types/common/types-1.ts	TODO
Wave3	ts	P2	500	21	./web/frontend/src/views/demo/stock-analysis/code-examples.ts	DONE
Wave3	ts	P2	500	526	./web/frontend/tests/bloomberg-style.test.ts	TODO
Wave3	ts	P2	500	478	./web/frontend/src/types/market.ts	DONE
Wave3	ts	P2	500	453	./web/frontend/src/views/artdeco-pages/composables/useArtDecoDashboard.ts	DONE
Wave3	ts	P2	500	447	./web/frontend/src/components/artdeco/core/ArtDecoIcon.vue	DONE
Wave3	vue	P2	500	300	./web/frontend/src/components/artdeco/advanced/ArtDecoTradingSignals.vue	DONE
Wave3	ts	P2	500	192	./web/frontend/src/views/market/composables/useEtf.ts	DONE
Wave3	ts	P2	500	500	./web/frontend/src/types/backend_types/part-1.ts	DONE
Wave3	ts	P2	500	506	./tests/helpers/api-helpers/part-1.ts	TODO
Wave3	ts	P2	500	395	./web/frontend/src/types/chart-types/types-1.ts	DONE
Wave3	ts	P2	500	269	./web/frontend/src/types/market-data-api/types-1.ts	DONE
Wave3	ts	P2	500	492	./web/frontend/src/composables/useAria/use-aria.ts	DONE
Wave3	js	P2	500	481	./web/frontend/src/composables/useSSE.js	DONE
Wave3	ts	P2	500	423	./web/frontend/src/types/strategy/part-1.ts	DONE
Wave3	ts	P2	500	392	./web/frontend/src/types/klinecharts.d.ts	DONE
Wave3	ts	P2	500	425	./web/frontend/src/composables/useStrategy.ts	DONE
Wave3	ts	P2	500	502	./web/frontend/src/layouts/MenuConfig.enhanced.ts	TODO
Wave3	ts	P2	500	501	./web/frontend/src/utils/indicators-extended/part-1.ts	TODO
Wave3	ts	P2	500	478	./web/frontend/src/utils/chartDataUtils.ts	DONE
Wave3	ts	P2	500	490	./web/frontend/src/utils/cache/part-1.ts	DONE
Wave3	ts	P2	500	429	./web/frontend/src/utils/performance/part-1.ts	DONE
Wave3	ts	P2	500	438	./web/frontend/src/utils/sse/part-1.ts	DONE
Wave3	ts	P0	500	3137	./web/frontend/src/api/types/generated-types.ts	DONE
Wave2	js	P1	500	1289	./scripts/tests/web-usability-runner.js	DONE
Wave4	test_js	P1	1000	1141	./web/frontend/tests/api-automation.spec.js	DONE
Wave4	vue_archive	P2	500	1141	./web/frontend/src/views/converted.archive/market-quotes.vue	EXCLUDED
Wave4	vue_archive	P2	500	974	./web/frontend/src/views/converted.archive/market-data.vue	EXCLUDED
