,name,tp,num,stocks
0,融资融券,fg,386,"['000001', '000002', '000009', '000012', '000021', '000027', '000039', '000046', '000059', '000060', '000061', '000063', '000069', '000100', '000157', '000338', '000401', '000402', '000422', '000423', '000425', '000528', '000538', '000539', '000540', '000550', '000559', '000568', '000581', '000596', '000623', '000625', '000629', '000630', '000651', '000686', '000709', '000718', '000725', '000728', '000729', '000758', '000762', '000768', '000776', '000778', '000780', '000783', '000792', '000793', '000800', '000826', '000839', '000858', '000869', '000876', '000877', '000878', '000895', '000917', '000927', '000933', '000937', '000960', '000968', '000969', '000970', '000983', '002001', '002007', '002008', '002024', '002038', '002041', '002051', '002056', '002069', '002073', '002081', '002092', '002106', '002142', '002146', '002155', '002202', '002230', '002236', '002241', '002269', '002304', '002415', '002422', '002500', '300070', '600000', '600009', '600010', '600011', '600015', '600016', '600019', '600022', '600027', '600028', '600029', '600030', '600031', '600036', '600038', '600039', '600048', '600050', '600058', '600059', '600060', '600062', '600063', '600066', '600067', '600068', '600077', '600078', '600079', '600085', '600089', '600094', '600096', '600100', '600104', '600107', '600108', '600109', '600111', '600113', '600115', '600116', '600118', '600120', '600123', '600125', '600132', '600139', '600141', '600143', '600145', '600146', '600149', '600150', '600153', '600157', '600158', '600160', '600163', '600166', '600169', '600170', '600177', '600179', '600185', '600186', '600188', '600193', '600196', '600197', '600199', '600208', '600209', '600216', '600218', '600219', '600221', '600223', '600225', '600229', '600230', '600239', '600252', '600256', '600257', '600259', '600260', '600266', '600267', '600271', '600276', '600277', '600288', '600293', '600298', '600300', '600301', '600309', '600311', '600312', '600315', '600316', '600321', '600325', '600332', '600333', '600340', '600348', '600354', '600362', '600366', '600369', '600372', '600376', '600383', '600395', '600406', '600408', '600415', '600418', '600425', '600426', '600433', '600435', '600436', '600449', '600456', '600458', '600467', '600470', '600478', '600483', '600489', '600490', '600491', '600495', '600497', '600498', '600502', '600503', '600515', '600516', '600518', '600519', '600528', '600535', '600543', '600545', '600546', '600547', '600549', '600557', '600559', '600568', '600582', '600583', '600585', '600588', '600598', '600600', '600606', '600609', '600614', '600616', '600636', '600637', '600642', '600644', '600645', '600649', '600655', '600660', '600664', '600667', '600668', '600674', '600675', '600690', '600692', '600694', '600696', '600702', '600703', '600711', '600720', '600739', '600740', '600741', '600742', '600743', '600744', '600748', '600750', '600759', '600770', '600779', '600787', '600795', '600800', '600801', '600804', '600805', '600807', '600809', '600815', '600816', '600820', '600823', '600825', '600827', '600837', '600839', '600844', '600868', '600875', '600880', '600881', '600886', '600887', '600893', '600900', '600970', '600971', '600987', '600999', '601001', '601002', '601005', '601006', '601009', '601038', '601088', '601099', '601101', '601111', '601117', '601118', '601139', '601166', '601168', '601169', '601186', '601288', '601311', '601318', '601328', '601333', '601336', '601377', '601388', '601390', '601398', '601555', '601600', '601601', '601607', '601608', '601618', '601628', '601633', '601666', '601668', '601669', '601688', '601699', '601717', '601766', '601788', '601789', '601800', '601801', '601808', '601818', '601857', '601866', '601888', '601898', '601899', '601901', '601918', '601919', '601928', '601929', '601939', '601958', '601988', '601989', '601991', '601992', '601996', '601998', '603000']"
1,专精特新,fg,400,"['000032', '000586', '000795', '000801', '000852', '001205', '001208', '001223', '001226', '001229', '001230', '001255', '001256', '001266', '001270', '001279', '001282', '001301', '001306', '001308', '001309', '001314', '001336', '001339', '001360', '001380', '001388', '001390', '001395', '001400', '001696', '002006', '002057', '002112', '002115', '002119', '002134', '002158', '002166', '002171', '002179', '002190', '002226', '002231', '002246', '002270', '002278', '002296', '002298', '002314', '002324', '002337', '002338', '002340', '002380', '002393', '002409', '002452', '002478', '002491', '002519', '002522', '002549', '002553', '002560', '002576', '002584', '002587', '002591', '002592', '002606', '002658', '002669', '002675', '002685', '002686', '002698', '002733', '002747', '002757', '002803', '002805', '002809', '002810', '002812', '002817', '002825', '002829', '002833', '002838', '002846', '002849', '002859', '002866', '002869', '002876', '002877', '002881', '002886', '002890', '002892', '002903', '002912', '002915', '002927', '002932', '002933', '002962', '002970', '002971', '002972', '002979', '002983', '002993', '002996', '002997', '003005', '003008', '003009', '003025', '003029', '003031', '003033', '003038', '003043', '300007', '300008', '300016', '300018', '300024', '300035', '300046', '300053', '300065', '300076', '300101', '300112', '300129', '300145', '300150', '300153', '300154', '300159', '300162', '300163', '300165', '300172', '300177', '300179', '300183', '300190', '300195', '300200', '300205', '300213', '300217', '300220', '300229', '300233', '300234', '300236', '300239', '300249', '300259', '300264', '300275', '300276', '300283', '300286', '300290', '300302', '300303', '300304', '300305', '300306', '300326', '300331', '300337', '300346', '300354', '300357', '300371', '300382', '300385', '300394', '300401', '300402', '300404', '300405', '300406', '300407', '300410', '300411', '300412', '300414', '300416', '300417', '300423', '300425', '300427', '300428', '300429', '300430', '300440', '300446', '300447', '300452', '300460', '300470', '300471', '300479', '300480', '300481', '300484', '300486', '300487', '300488', '300493', '300499', '300503', '300508', '300509', '300510', '300515', '300516', '300531', '300534', '300535', '300539', '300540', '300545', '300546', '300548', '300551', '300553', '300557', '300563', '300576', '300581', '300582', '300585', '300586', '300587', '300588', '300589', '300590', '300593', '300594', '300604', '300606', '300610', '300611', '300613', '300617', '300623', '300631', '300638', '300642', '300643', '300644', '300648', '300652', '300653', '300661', '300665', '300667', '300669', '300671', '300672', '300678', '300680', '300685', '300689', '300693', '300706', '300715', '300717', '300718', '300743', '300753', '300758', '300762', '300769', '300774', '300775', '300777', '300780', '300783', '300784', '300786', '300789', '300800', '300806', '300809', '300810', '300811', '300812', '300816', '300817', '300818', '300820', '300823', '300827', '300833', '300834', '300835', '300838', '300839', '300842', '300845', '300846', '300848', '300853', '300855', '300862', '300875', '300876', '300880', '300881', '300882', '300884', '300885', '300896', '300897', '300900', '300902', '300903', '300905', '300906', '300909', '300922', '300929', '300930', '300933', '300936', '300942', '300946', '300950', '300951', '300956', '300962', '300964', '300971', '300980', '300981', '300988', '300990', '300991', '301005', '301006', '301007', '301008', '301009', '301010', '301012', '301013', '301019', '301020', '301028', '301030', '301031', '301040', '301041', '301050', '301053', '301057', '301059', '301060', '301063', '301076', '301077', '301079', '301080', '301081', '301082', '301083', '301086', '301087', '301092', '301095', '301100', '301107', '301120', '301121', '301125', '301127', '301129', '301131', '301137', '301141', '301148', '301150', '301151', '301152', '301157', '301158', '301160', '301162', '301168', '301170']"
2,即将解禁,fg,96,"['000010', '000425', '000591', '001222', '001231', '001259', '001266', '001277', '001283', '001330', '001331', '001339', '002166', '002251', '002366', '002514', '002736', '002939', '002957', '300811', '301110', '301115', '301171', '301173', '301181', '301200', '301207', '301209', '301222', '301270', '301275', '301282', '301296', '301328', '301330', '301338', '301349', '301571', '301586', '301600', '301607', '301611', '600063', '600166', '600319', '600644', '600682', '600803', '600980', '600995', '601069', '601456', '603102', '603182', '603207', '603237', '603255', '603271', '603310', '603409', '605008', '688028', '688114', '688163', '688187', '688203', '688247', '688267', '688271', '688281', '688283', '688292', '688293', '688381', '688401', '688403', '688416', '688435', '688439', '688516', '688548', '688549', '688573', '688591', '688592', '688693', '688710', '688728', '832419', '832522', '833533', '834407', '920008', '920027', '920108', '920118']"
3,近已解禁,fg,109,"['000010', '000031', '000737', '000819', '001229', '001236', '001258', '001309', '001336', '001356', '001395', '002251', '002256', '002307', '002660', '002840', '002966', '002978', '300025', '300242', '300442', '300565', '300576', '300834', '301095', '301106', '301109', '301123', '301132', '301195', '301201', '301206', '301217', '301235', '301269', '301278', '301306', '301308', '301318', '301336', '301371', '301393', '301552', '301601', '301602', '301606', '301608', '430718', '600021', '600369', '600765', '600866', '600980', '603085', '603087', '603150', '603170', '603201', '603211', '603223', '603375', '603856', '688041', '688130', '688131', '688171', '688173', '688205', '688225', '688234', '688270', '688303', '688347', '688353', '688371', '688373', '688375', '688380', '688382', '688411', '688435', '688450', '688519', '688545', '688563', '688583', '688602', '688610', '688612', '688627', '688638', '688646', '688651', '688652', '688671', '688721', '832175', '832469', '833266', '836208', '836221', '836717', '837821', '871753', '872374', '920082', '920106', '920116', '920799']"
4,送转潜力,fg,73,"['001205', '001206', '001228', '001230', '001306', '001328', '001359', '001400', '002942', '003011', '300653', '300833', '300870', '300899', '300969', '300990', '301036', '301043', '301170', '301203', '301223', '301280', '301287', '301309', '301310', '301317', '301323', '301333', '301345', '301361', '301362', '301373', '301446', '301488', '301525', '301557', '301581', '301589', '301598', '301616', '301629', '600976', '603062', '603073', '603080', '603082', '603096', '603173', '603180', '603190', '603199', '603275', '603307', '603320', '603322', '603344', '603373', '603416', '603444', '603579', '603586', '603661', '603706', '603757', '603867', '603896', '603908', '603948', '605028', '605058', '605098', '605259', '605286']"
5,预高送转,fg,0,['']
6,已高送转,fg,3,"['002594', '301613', '832735']"
7,业绩预升,fg,400,"['000011', '000017', '000029', '000089', '000100', '000166', '000526', '000531', '000537', '000554', '000557', '000600', '000612', '000623', '000655', '000686', '000688', '000690', '000719', '000726', '000750', '000783', '000789', '000823', '000825', '000833', '000850', '000868', '000880', '000893', '000901', '000930', '000936', '000957', '000959', '000965', '000975', '000987', '000988', '001223', '001238', '001239', '001266', '001267', '001268', '001283', '001287', '001298', '001314', '001316', '001380', '001389', '001391', '001696', '002001', '002010', '002038', '002056', '002079', '002080', '002093', '002102', '002141', '002155', '002161', '002170', '002171', '002174', '002201', '002206', '002209', '002244', '002245', '002246', '002248', '002255', '002258', '002278', '002281', '002284', '002299', '002317', '002324', '002326', '002342', '002370', '002373', '002376', '002393', '002394', '002395', '002396', '002402', '002414', '002432', '002434', '002454', '002463', '002476', '002479', '002487', '002488', '002500', '002511', '002523', '002537', '002545', '002562', '002600', '002609', '002611', '002612', '002626', '002645', '002649', '002670', '002671', '002701', '002714', '002724', '002725', '002728', '002729', '002734', '002736', '002739', '002741', '002746', '002748', '002755', '002765', '002772', '002777', '002778', '002780', '002783', '002803', '002823', '002846', '002881', '002895', '002901', '002926', '002928', '002931', '002933', '002939', '002941', '002945', '002947', '002961', '002970', '002976', '003002', '003010', '003011', '003016', '003017', '003026', '003027', '003037', '003041', '300001', '300018', '300035', '300105', '300119', '300138', '300148', '300201', '300308', '300322', '300371', '300434', '300484', '300502', '300505', '300602', '300620', '300643', '300652', '300666', '300684', '300702', '300724', '300733', '300748', '300787', '300796', '300926', '300953', '300984', '301031', '301061', '301078', '301107', '301132', '301165', '301230', '301286', '301345', '600004', '600021', '600058', '600063', '600095', '600105', '600109', '600111', '600120', '600143', '600148', '600149', '600150', '600155', '600160', '600166', '600176', '600179', '600183', '600186', '600206', '600216', '600268', '600329', '600338', '600354', '600356', '600366', '600367', '600382', '600389', '600449', '600482', '600489', '600499', '600507', '600547', '600550', '600570', '600576', '600578', '600595', '600615', '600619', '600620', '600635', '600638', '600668', '600673', '600685', '600686', '600714', '600739', '600744', '600745', '600778', '600801', '600812', '600839', '600861', '600864', '600866', '600882', '600884', '600906', '600918', '600958', '600973', '600983', '600986', '600988', '600989', '601003', '601020', '601059', '601066', '601069', '601083', '601096', '601099', '601127', '601211', '601218', '601236', '601311', '601339', '601456', '601555', '601566', '601607', '601609', '601686', '601766', '601881', '601899', '601900', '601901', '601989', '601995', '603005', '603032', '603061', '603079', '603081', '603083', '603086', '603089', '603103', '603109', '603151', '603172', '603173', '603186', '603191', '603200', '603223', '603236', '603267', '603311', '603312', '603313', '603322', '603325', '603326', '603329', '603375', '603379', '603390', '603486', '603500', '603506', '603538', '603566', '603585', '603586', '603612', '603628', '603655', '603656', '603678', '603680', '603682', '603696', '603700', '603717', '603737', '603766', '603799', '603811', '603815', '603858', '603890', '603893', '603917', '603928', '603950', '603969', '603979', '603993', '603997', '605056', '605118', '605198', '605259', '605289', '605296', '605298', '605305', '605376', '605589', '688008', '688018', '688025', '688049', '688089', '688103', '688108', '688109', '688117', '688143', '688182', '688183', '688186', '688213', '688249', '688293', '688351', '688508', '688522', '688523', '688550', '688582', '688591', '688608', '688665', '688690', '688696', '688787', '688800']"
8,业绩预增,fg,54,"['000528', '000791', '000798', '000807', '000899', '000950', '000960', '002015', '002050', '002130', '002204', '002444', '002448', '002461', '002475', '002597', '002716', '002838', '002850', '002967', '300012', '300054', '300100', '300160', '300181', '300357', '300373', '300408', '300444', '300446', '300458', '300610', '300681', '300801', '301077', '301093', '301251', '301611', '600323', '600378', '600415', '603270', '603296', '603358', '603501', '603697', '688012', '688035', '688076', '688208', '688449', '688758', '688789', '920099']"
9,业绩预降,fg,191,"['000012', '000055', '000090', '000096', '000155', '000517', '000539', '000567', '000731', '000799', '000800', '000810', '000818', '000852', '000860', '000897', '000912', '000937', '000949', '000966', '001209', '001212', '001259', '001300', '001326', '002008', '002025', '002082', '002088', '002122', '002124', '002127', '002134', '002135', '002186', '002194', '002247', '002254', '002269', '002274', '002327', '002360', '002365', '002381', '002401', '002408', '002420', '002423', '002449', '002457', '002490', '002496', '002510', '002531', '002534', '002552', '002557', '002573', '002583', '002633', '002635', '002636', '002641', '002654', '002677', '002681', '002687', '002715', '002737', '002738', '002757', '002809', '002903', '002929', '002932', '002935', '002943', '002955', '002969', '002982', '002986', '002990', '003009', '003038', '300005', '300036', '300194', '300818', '300859', '301008', '301086', '301096', '600048', '600094', '600116', '600123', '600129', '600157', '600180', '600201', '600208', '600229', '600235', '600250', '600272', '600279', '600308', '600325', '600359', '600373', '600409', '600469', '600488', '600508', '600516', '600520', '600599', '600605', '600707', '600737', '600754', '600779', '600789', '600794', '600828', '600833', '600859', '600877', '600883', '600893', '600925', '600985', '601222', '601368', '601388', '601500', '601616', '601666', '601698', '601700', '601865', '601975', '603010', '603023', '603056', '603060', '603110', '603121', '603131', '603183', '603208', '603213', '603220', '603221', '603291', '603310', '603321', '603327', '603348', '603381', '603385', '603496', '603507', '603569', '603630', '603681', '603688', '603738', '603767', '603836', '603877', '603886', '603976', '603980', '603992', '605008', '605100', '605158', '605186', '605189', '605199', '605300', '605336', '605365', '605378', '605388', '605398', '605500', '688378', '688480', '688766']"
