name,code,数据获取时间
半导体,881121,2025-09-26 22:47:05
白酒,881273,2025-09-26 22:47:05
白色家电,881131,2025-09-26 22:47:05
保险,881156,2025-09-26 22:47:05
包装印刷,881138,2025-09-26 22:47:05
厨卫电器,881174,2025-09-26 22:47:05
电池,881281,2025-09-26 22:47:05
电机,881277,2025-09-26 22:47:05
电力,881145,2025-09-26 22:47:05
电网设备,881278,2025-09-26 22:47:05
多元金融,881283,2025-09-26 22:47:05
电子化学品,881172,2025-09-26 22:47:05
房地产,881153,2025-09-26 22:47:05
风电设备,881280,2025-09-26 22:47:05
非金属材料,881167,2025-09-26 22:47:05
服装家纺,881136,2025-09-26 22:47:05
纺织制造,881135,2025-09-26 22:47:05
工程机械,881268,2025-09-26 22:47:05
光伏设备,881279,2025-09-26 22:47:05
贵金属,881169,2025-09-26 22:47:05
轨交设备,881269,2025-09-26 22:47:05
港口航运,881148,2025-09-26 22:47:05
公路铁路运输,881149,2025-09-26 22:47:05
钢铁,881112,2025-09-26 22:47:05
光学光电子,881122,2025-09-26 22:47:05
工业金属,881168,2025-09-26 22:47:05
环保设备,881284,2025-09-26 22:47:05
环境治理,881181,2025-09-26 22:47:05
互联网电商,881177,2025-09-26 22:47:05
黑色家电,881132,2025-09-26 22:47:05
化学纤维,881264,2025-09-26 22:47:05
化学原料,881108,2025-09-26 22:47:05
化学制品,881109,2025-09-26 22:47:05
化学制药,881140,2025-09-26 22:47:05
IT服务,881271,2025-09-26 22:47:05
机场航运,881151,2025-09-26 22:47:05
军工电子,881276,2025-09-26 22:47:05
军工装备,881166,2025-09-26 22:47:05
家居用品,881139,2025-09-26 22:47:05
计算机设备,881130,2025-09-26 22:47:05
金属新材料,881114,2025-09-26 22:47:05
教育,881178,2025-09-26 22:47:05
建筑材料,881115,2025-09-26 22:47:05
建筑装饰,881116,2025-09-26 22:47:05
零售,881158,2025-09-26 22:47:05
旅游及酒店,881160,2025-09-26 22:47:05
美容护理,881182,2025-09-26 22:47:05
煤炭开采加工,881105,2025-09-26 22:47:05
贸易,881159,2025-09-26 22:47:05
农产品加工,881103,2025-09-26 22:47:05
农化制品,881263,2025-09-26 22:47:05
能源金属,881267,2025-09-26 22:47:05
汽车服务及其他,881128,2025-09-26 22:47:05
汽车零部件,881126,2025-09-26 22:47:05
汽车整车,881125,2025-09-26 22:47:05
其他电源设备,881282,2025-09-26 22:47:05
其他电子,881123,2025-09-26 22:47:05
其他社会服务,881179,2025-09-26 22:47:05
软件开发,881272,2025-09-26 22:47:05
燃气,881146,2025-09-26 22:47:05
塑料制品,881265,2025-09-26 22:47:05
食品加工制造,881134,2025-09-26 22:47:05
生物制品,881142,2025-09-26 22:47:05
石油加工贸易,881180,2025-09-26 22:47:05
通信服务,881162,2025-09-26 22:47:05
通信设备,881129,2025-09-26 22:47:05
通用设备,881117,2025-09-26 22:47:05
文化传媒,881164,2025-09-26 22:47:05
物流,881152,2025-09-26 22:47:05
消费电子,881124,2025-09-26 22:47:05
小家电,881173,2025-09-26 22:47:05
小金属,881170,2025-09-26 22:47:05
橡胶制品,881266,2025-09-26 22:47:05
元件,881270,2025-09-26 22:47:05
医疗服务,881175,2025-09-26 22:47:05
医疗器械,881144,2025-09-26 22:47:05
饮料制造,881133,2025-09-26 22:47:05
油气开采及服务,881107,2025-09-26 22:47:05
影视院线,881274,2025-09-26 22:47:05
游戏,881275,2025-09-26 22:47:05
银行,881155,2025-09-26 22:47:05
医药商业,881143,2025-09-26 22:47:05
养殖业,881102,2025-09-26 22:47:05
自动化设备,881171,2025-09-26 22:47:05
综合,881165,2025-09-26 22:47:05
证券,881157,2025-09-26 22:47:05
中药,881141,2025-09-26 22:47:05
专用设备,881118,2025-09-26 22:47:05
造纸,881137,2025-09-26 22:47:05
种植业与林业,881101,2025-09-26 22:47:05
