序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属行业,数据获取时间
1,300904,威力传动,79.27,20.0,13.21,41580,307119265.7,20.89,79.27,65.47,66.05,66.06,18.91,-65.94,8.59,风电设备,2025-09-26 22:47:05
2,601218,吉鑫科技,5.67,10.1,0.52,2048306,1125068122.0,10.87,5.67,5.11,5.16,5.15,21.14,33.68,1.89,风电设备,2025-09-26 22:47:05
3,601615,明阳智能,15.53,9.99,1.41,1039441,1602069171.0,6.94,15.53,14.55,14.55,14.12,4.58,28.92,1.35,风电设备,2025-09-26 22:47:05
4,603218,日月股份,14.4,8.43,1.12,1026494,1468887840.0,10.17,14.61,13.26,13.3,13.28,9.98,26.17,1.42,风电设备,2025-09-26 22:47:05
5,300569,天能重工,6.68,8.09,0.5,1682902,1151382111.6,17.15,7.16,6.1,6.14,6.18,16.51,49.33,1.32,风电设备,2025-09-26 22:47:05
6,301456,盘古智能,32.0,6.14,1.85,128337,415844969.13,13.07,33.95,30.01,30.19,30.15,21.21,72.13,2.22,风电设备,2025-09-26 22:47:05
7,002531,天顺风能,8.25,4.17,0.33,780475,644581274.64,8.21,8.54,7.89,7.91,7.92,4.37,137.71,1.65,风电设备,2025-09-26 22:47:05
8,300129,泰胜风能,8.12,4.1,0.32,772467,625119309.21,6.15,8.23,7.75,7.77,7.8,11.95,31.88,1.71,风电设备,2025-09-26 22:47:05
9,300185,通裕重工,3.14,3.63,0.11,3837857,1220261515.83,6.6,3.26,3.06,3.06,3.03,10.35,100.73,1.83,风电设备,2025-09-26 22:47:05
10,300690,双一科技,37.83,3.5,1.28,268911,1017051700.34,10.59,39.88,36.01,36.01,36.55,24.27,31.32,4.07,风电设备,2025-09-26 22:47:05
11,301063,海锅股份,26.14,2.31,0.59,50276,134200740.48,8.34,27.25,25.12,25.41,25.55,5.01,40.28,1.74,风电设备,2025-09-26 22:47:05
12,000809,和展能源,3.11,2.3,0.07,362848,113975612.0,6.91,3.23,3.02,3.03,3.04,4.4,-36.21,0.96,风电设备,2025-09-26 22:47:05
13,301163,宏德股份,28.15,2.21,0.61,23137,65044866.55,5.08,28.58,27.18,27.44,27.54,4.23,45.55,2.04,风电设备,2025-09-26 22:47:05
14,605305,中际联合,41.78,2.03,0.83,134646,568464468.0,6.52,43.19,40.52,40.8,40.95,6.34,16.94,3.32,风电设备,2025-09-26 22:47:05
15,002202,金风科技,14.34,1.92,0.27,1893562,2736112193.44,6.11,14.76,13.9,14.06,14.07,5.64,20.36,1.62,风电设备,2025-09-26 22:47:05
16,301232,飞沃科技,38.68,1.79,0.68,43359,170493579.8,8.82,40.88,37.53,38.02,38.0,9.71,46.09,2.08,风电设备,2025-09-26 22:47:05
17,688186,广大特材,26.95,1.77,0.47,167959,454880124.0,4.68,27.5,26.26,26.26,26.48,5.99,20.42,1.62,风电设备,2025-09-26 22:47:05
18,301155,海力风电,92.88,1.76,1.61,52799,496837283.52,6.4,95.99,90.15,91.0,91.27,4.28,49.21,3.6,风电设备,2025-09-26 22:47:05
19,301557,常友科技,81.37,1.74,1.39,17931,146586462.88,5.6,83.48,79.0,79.55,79.98,16.18,52.26,3.65,风电设备,2025-09-26 22:47:05
20,002487,大金重工,46.27,1.51,0.69,353920,1680967425.98,7.9,48.8,45.2,45.5,45.58,5.61,27.0,3.8,风电设备,2025-09-26 22:47:05
21,600072,中船科技,12.22,1.33,0.16,146376,179174299.0,2.99,12.36,12.0,12.05,12.06,1.35,-15.99,1.77,风电设备,2025-09-26 22:47:05
22,300850,新强联,40.73,1.19,0.48,397130,1664885987.74,8.4,43.44,40.06,40.28,40.25,13.46,20.81,2.55,风电设备,2025-09-26 22:47:05
23,603507,振江股份,27.64,1.06,0.29,121508,336609174.0,3.99,28.1,27.01,27.1,27.35,6.68,162.3,2.1,风电设备,2025-09-26 22:47:05
24,600458,时代新材,15.56,0.97,0.15,371317,583643348.0,4.67,16.04,15.32,15.39,15.41,4.59,23.89,1.89,风电设备,2025-09-26 22:47:05
25,300443,金雷股份,29.86,0.47,0.14,187570,569693618.07,6.09,31.16,29.35,29.35,29.72,7.73,25.48,1.54,风电设备,2025-09-26 22:47:05
26,688349,三一重能,30.86,0.1,0.03,88821,277819348.0,4.38,31.9,30.55,30.59,30.83,3.59,90.07,2.84,风电设备,2025-09-26 22:47:05
27,300772,运达股份,19.47,-0.15,-0.03,423150,844788457.19,5.79,20.44,19.31,19.4,19.5,6.06,53.34,2.36,风电设备,2025-09-26 22:47:05
28,301040,中环海陆,22.06,-0.27,-0.06,41731,93390486.11,3.89,22.73,21.87,22.0,22.12,4.43,-25.96,2.92,风电设备,2025-09-26 22:47:05
29,603985,恒润股份,17.2,-0.86,-0.15,313498,550349514.0,4.61,17.93,17.13,17.26,17.35,7.11,94.39,2.37,风电设备,2025-09-26 22:47:05
30,603063,禾望电气,34.0,-1.25,-0.43,420469,1465726049.0,4.36,35.5,34.0,34.35,34.43,9.25,31.84,3.23,风电设备,2025-09-26 22:47:05
31,688660,电气风电,23.36,-5.96,-1.48,547831,1376518821.0,11.35,26.18,23.36,24.4,24.84,4.11,-55.83,6.43,风电设备,2025-09-26 22:47:05
