序号,板块,涨跌幅,总成交量,总成交额,净流入,上涨家数,下跌家数,均价,领涨股,领涨股-最新价,领涨股-涨跌幅,数据获取时间
1,风电设备,3.1,1760.17,233.85,5.7,24,5,13.29,威力传动,79.27,20.0,2025-09-26 22:47:05
2,化学纤维,2.38,1062.48,86.64,5.58,21,6,8.15,神马股份,11.06,10.05,2025-09-26 22:47:05
3,农化制品,1.11,1035.57,113.47,3.66,47,10,10.96,蓝丰生化,8.59,9.99,2025-09-26 22:47:05
4,保险,1.06,195.22,68.1,5.13,5,0,34.88,新华保险,60.37,1.93,2025-09-26 22:47:05
5,种植业与林业,0.93,625.47,37.38,1.94,18,8,5.98,众兴菌业,10.14,9.98,2025-09-26 22:47:05
6,石油加工贸易,0.87,682.17,54.42,2.75,18,8,7.98,恒逸石化,6.83,6.89,2025-09-26 22:47:05
7,油气开采及服务,0.87,742.87,42.1,2.09,14,4,5.67,准油股份,8.06,3.73,2025-09-26 22:47:05
8,纺织制造,0.81,418.54,40.45,-1.76,21,8,9.66,联发股份,11.7,9.96,2025-09-26 22:47:05
9,军工装备,0.59,1385.88,394.47,12.65,45,35,28.46,航宇科技,44.75,8.2,2025-09-26 22:47:05
10,养殖业,0.46,708.67,74.59,1.38,24,12,10.53,生物股份,9.34,7.23,2025-09-26 22:47:05
11,农产品加工,0.4,603.68,63.18,0.28,28,13,10.46,道道全,11.16,4.49,2025-09-26 22:47:05
12,工业金属,0.38,4247.44,476.23,10.06,30,25,11.21,精艺股份,14.85,10.0,2025-09-26 22:47:05
13,公路铁路运输,0.37,593.4,36.81,1.76,18,7,6.2,江西长运,6.64,2.0,2025-09-26 22:47:05
14,电力,0.37,4470.68,284.3,8.59,63,32,6.36,嘉泽新能,5.58,10.06,2025-09-26 22:47:05
15,贸易,0.36,235.36,16.11,-0.14,8,6,6.85,苏美达,10.32,5.2,2025-09-26 22:47:05
16,互联网电商,0.36,485.14,54.7,-7.07,8,8,11.28,吉宏股份,20.83,9.98,2025-09-26 22:47:05
17,钢铁,0.3,2174.67,108.55,-0.55,24,15,4.99,南钢股份,5.08,5.39,2025-09-26 22:47:05
18,建筑装饰,0.26,3822.41,260.34,-13.94,77,67,6.81,东华科技,12.27,10.04,2025-09-26 22:47:05
19,机场航运,0.26,644.74,32.35,2.74,7,5,5.02,春秋航空,53.49,1.59,2025-09-26 22:47:05
20,银行,0.25,3312.56,261.7,26.54,25,11,7.9,渝农商行,6.46,2.38,2025-09-26 22:47:05
21,饮料制造,0.25,379.62,60.8,-1.27,26,16,16.02,养元饮品,28.14,10.01,2025-09-26 22:47:05
22,环境治理,0.19,2547.3,223.66,-6.08,59,46,8.78,中环环保,8.86,11.31,2025-09-26 22:47:05
23,化学制品,0.1,1817.77,298.23,4.71,80,86,16.41,锦华新材,54.97,29.98,2025-09-26 22:47:05
24,房地产,0.05,4537.2,331.08,9.82,43,35,7.3,合肥城建,7.77,10.06,2025-09-26 22:47:05
25,食品加工制造,0.05,757.19,84.41,-2.8,37,26,11.15,金字火腿,8.07,6.61,2025-09-26 22:47:05
26,煤炭开采加工,0.04,905.7,76.4,-4.82,13,19,8.44,大有能源,4.06,10.03,2025-09-26 22:47:05
27,光伏设备,0.03,1916.9,486.71,-17.24,30,43,25.39,易成新能,4.9,20.1,2025-09-26 22:47:05
28,燃气,0.03,613.91,41.57,-1.73,16,11,6.77,胜通能源,13.92,6.83,2025-09-26 22:47:05
29,综合,0.03,564.75,60.23,-3.7,11,7,10.66,悦达投资,5.11,3.02,2025-09-26 22:47:05
30,家居用品,-0.0,761.78,99.81,-4.32,40,52,13.1,梦天家居,18.93,9.99,2025-09-26 22:47:05
31,汽车整车,-0.0,1598.38,396.91,-7.76,8,14,24.83,曙光股份,3.86,9.97,2025-09-26 22:47:05
32,工程机械,-0.04,891.96,124.22,2.29,15,21,13.93,拓山重工,42.37,9.99,2025-09-26 22:47:05
33,贵金属,-0.11,613.27,96.61,-0.35,3,8,15.75,湖南白银,6.91,5.01,2025-09-26 22:47:05
34,轨交设备,-0.16,382.36,33.61,-0.08,10,19,8.79,神州高铁,2.9,2.84,2025-09-26 22:47:05
35,白酒,-0.21,143.22,158.8,-17.02,9,11,110.88,*ST岩石,6.09,1.5,2025-09-26 22:47:05
36,化学原料,-0.22,954.97,75.21,-0.02,29,26,7.88,*ST亚太,11.26,5.04,2025-09-26 22:47:05
37,汽车服务及其他,-0.25,266.34,42.14,-1.46,11,12,15.82,征和工业,58.53,3.54,2025-09-26 22:47:05
38,造纸,-0.28,895.53,46.21,-3.33,9,13,5.16,松炀资源,22.7,4.42,2025-09-26 22:47:05
39,能源金属,-0.32,404.46,187.4,-4.08,6,7,46.33,腾远钴业,68.7,2.83,2025-09-26 22:47:05
40,证券,-0.32,2691.41,351.94,-13.73,12,35,13.08,湘财股份,12.68,4.11,2025-09-26 22:47:05
41,美容护理,-0.34,171.24,36.96,-1.37,13,16,21.59,洁雅股份,31.18,2.2,2025-09-26 22:47:05
42,环保设备,-0.39,283.32,35.21,-1.46,10,18,12.43,复洁环保,27.8,10.01,2025-09-26 22:47:05
43,建筑材料,-0.4,1244.77,117.26,-2.78,22,44,9.42,海南瑞泽,3.85,5.19,2025-09-26 22:47:05
44,小金属,-0.43,930.2,243.55,-14.28,9,16,26.18,兴业银锡,28.42,4.72,2025-09-26 22:47:05
45,教育,-0.45,440.9,33.77,-4.35,5,12,7.66,凯文教育,6.91,10.03,2025-09-26 22:47:05
46,服装家纺,-0.45,1270.46,87.57,-7.83,31,39,6.89,洪兴股份,20.2,10.02,2025-09-26 22:47:05
47,零售,-0.49,1931.43,145.54,-10.24,28,41,7.54,浙江东日,52.24,4.9,2025-09-26 22:47:05
48,中药,-0.51,835.74,84.46,-3.64,19,46,10.11,*ST长药,3.88,3.47,2025-09-26 22:47:05
49,汽车零部件,-0.56,6248.87,978.56,-33.35,83,164,15.66,迪生力,6.33,10.09,2025-09-26 22:47:05
50,电网设备,-0.59,3305.91,426.29,-11.87,48,81,12.89,昊创瑞通,61.06,190.76,2025-09-26 22:47:05
51,物流,-0.64,775.15,79.93,-5.83,17,30,10.31,普路通,8.86,3.02,2025-09-26 22:47:05
52,港口航运,-0.66,1112.14,65.58,-4.03,10,22,5.9,海峡股份,9.15,3.51,2025-09-26 22:47:05
53,塑料制品,-0.72,906.28,153.01,-11.3,24,49,16.88,万凯新材,20.32,9.9,2025-09-26 22:47:05
54,包装印刷,-0.72,546.1,56.58,-6.6,17,24,10.36,华源控股,8.28,2.1,2025-09-26 22:47:05
55,多元金融,-0.73,1002.52,86.58,-9.43,5,22,8.64,越秀资本,7.72,4.75,2025-09-26 22:47:05
56,白色家电,-0.93,1198.61,333.86,7.66,16,26,27.85,东贝集团,7.61,4.53,2025-09-26 22:47:05
57,生物制品,-1.0,371.57,121.42,-3.53,13,40,32.68,康华生物,77.28,5.26,2025-09-26 22:47:05
58,医疗器械,-1.01,708.93,177.02,-7.66,27,103,24.97,祥生医疗,32.9,9.3,2025-09-26 22:47:05
59,专用设备,-1.05,2697.24,462.13,-43.79,57,133,17.13,太原重工,2.71,10.16,2025-09-26 22:47:05
60,文化传媒,-1.09,2969.33,275.19,-15.56,24,58,9.27,遥望科技,6.72,9.98,2025-09-26 22:47:05
61,半导体,-1.11,3494.89,2268.03,-39.81,42,119,64.9,赛微微电,111.16,17.99,2025-09-26 22:47:05
62,小家电,-1.13,124.94,28.61,-0.46,8,17,22.9,奥佳华,6.62,0.61,2025-09-26 22:47:05
63,电池,-1.14,3044.09,1026.09,-43.21,31,67,33.71,芳源股份,6.71,20.04,2025-09-26 22:47:05
64,橡胶制品,-1.2,248.0,46.53,-2.52,6,13,18.76,震安科技,23.37,8.95,2025-09-26 22:47:05
65,军工电子,-1.22,679.8,167.89,-14.48,13,48,24.7,成电光信,31.2,2.73,2025-09-26 22:47:05
66,医药商业,-1.25,324.89,46.03,-7.14,6,22,14.17,浙江震元,10.26,3.64,2025-09-26 22:47:05
67,厨卫电器,-1.26,63.2,8.31,-1.15,2,6,13.16,奥普科技,12.21,0.83,2025-09-26 22:47:05
68,其他社会服务,-1.31,225.38,31.15,-3.68,5,29,13.82,外服控股,5.36,1.51,2025-09-26 22:47:05
